model_name,head,capacity,seed,track,source,frequency_bin,motif_recall
Markov baseline,null,0,44,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,44,Markov baseline,null,Intermediate,0.8205882352941176
Markov baseline,null,0,44,Markov baseline,null,Common,0.8501228501228502
Composition shuffle,null,0,45,Composition shuffle,null,Rare,0.14285714285714285
Composition shuffle,null,0,45,Composition shuffle,null,Intermediate,0.9
Composition shuffle,null,0,45,Composition shuffle,null,Common,0.7573710073710074
Markov baseline,null,0,45,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,45,Markov baseline,null,Intermediate,0.8470588235294118
Markov baseline,null,0,45,Markov baseline,null,Common,0.8488943488943489
Composition shuffle,null,0,46,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,46,Composition shuffle,null,Intermediate,0.9
Composition shuffle,null,0,46,Composition shuffle,null,Common,0.7432432432432432
Markov baseline,null,0,46,Markov baseline,null,Rare,0.8571428571428571
Markov baseline,null,0,46,Markov baseline,null,Intermediate,0.9029411764705882
Markov baseline,null,0,46,Markov baseline,null,Common,0.8298525798525799
Composition shuffle,null,0,47,Composition shuffle,null,Rare,0.5714285714285714
Composition shuffle,null,0,47,Composition shuffle,null,Intermediate,0.8941176470588236
Composition shuffle,null,0,47,Composition shuffle,null,Common,0.7469287469287469
Markov baseline,null,0,47,Markov baseline,null,Rare,0.8571428571428571
Markov baseline,null,0,47,Markov baseline,null,Intermediate,0.85
Markov baseline,null,0,47,Markov baseline,null,Common,0.85995085995086
Composition shuffle,null,0,48,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,48,Composition shuffle,null,Intermediate,0.8941176470588236
Composition shuffle,null,0,48,Composition shuffle,null,Common,0.7407862407862408
Markov baseline,null,0,48,Markov baseline,null,Rare,1.0
Markov baseline,null,0,48,Markov baseline,null,Intermediate,0.888235294117647
Markov baseline,null,0,48,Markov baseline,null,Common,0.8464373464373465
Composition shuffle,null,0,49,Composition shuffle,null,Rare,0.5714285714285714
Composition shuffle,null,0,49,Composition shuffle,null,Intermediate,0.9029411764705882
Composition shuffle,null,0,49,Composition shuffle,null,Common,0.7328009828009828
Markov baseline,null,0,49,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,49,Markov baseline,null,Intermediate,0.8735294117647059
Markov baseline,null,0,49,Markov baseline,null,Common,0.8390663390663391
Composition shuffle,null,0,50,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,50,Composition shuffle,null,Intermediate,0.8647058823529412
Composition shuffle,null,0,50,Composition shuffle,null,Common,0.7610565110565111
Markov baseline,null,0,50,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,50,Markov baseline,null,Intermediate,0.8647058823529412
Markov baseline,null,0,50,Markov baseline,null,Common,0.8488943488943489
Composition shuffle,null,0,51,Composition shuffle,null,Rare,0.5714285714285714
Composition shuffle,null,0,51,Composition shuffle,null,Intermediate,0.9264705882352942
Composition shuffle,null,0,51,Composition shuffle,null,Common,0.7321867321867321
Markov baseline,null,0,51,Markov baseline,null,Rare,0.14285714285714285
